industry_name,top_skills
Insurance,"communication, java, kubernetes, containerization, interpersonal, communication, interpersonal, initiative java, agile, java, planning, leadership, programming, writing, java, spring, spring, spring, spring, spring, spring, spring, testing, nosql, testing, devops, kafka node.js, react, initiative, decision-making, interpersonal, communication, problem-solving css, agile, devops, testing, agile, programming, debugging agile, hardware, programming, sql, sql, agile, automation, devops, communication, organization, flexibility, initiative organization, communication, organization, organization, agile, communication, flexibility, java, react, sql, spring, flexibility, java organization, testing, writing, programming, problem-solving, communication devops, collaboration, automation, innovation, programming, problem-solving, communication java, agile, spring, kafka, spring, java, java, angular, spring, spring, writing, spring, problem-solving, jenkins, spring, spring, spring testing, agile, testing, react, microservices, agile, organization, communication, terraform, initiative agile, devops, problem-solving, microservices, programming, innovation planning, collaboration, programming, writing, microservices, java, spring, java, spring, react, testing, programming, agile, initiative agile, programming, leadership testing, agile, programming, debugging, sql, sql testing, agile, programming, debugging, sql, sql decision-making, leadership, organization leadership, leadership, agile, devops, docker, python, leadership, java, java, java, devops, scripting, organization planning, initiative, agile, agile, planning, angular, agile, react, react, devops testing, agile, javascript, angular, programming, debugging agile, devops, python, adaptability, programming innovation, organization, javascript, negotiation, debugging, communication, leadership"
Internet Marketplace Platforms,"automation, testing, communication, python, programming, programming, hardware, encryption, communication, automation, collaboration, go, hardware, hardware, hardware, python, programming java planning, planning java microservices, python python, microservices  "
Internet News,"writing, testing, automation, writing, debugging, automation, python, testing, testing, testing, automation, agile, listening, communication planning, leadership, collaboration, testing, typescript, angular, nosql, collaboration"
Internet Publishing,"spark, react, react, communication, teamwork, networking"
Investment Management,"writing, programming, problem-solving, communication testing, programming, sql, testing, programming, interpersonal, communication, testing java, problem-solving, communication"
Law Practice,"innovation, collaboration, leadership, leadership, initiative, organization, c#, devops, devops, devops"
Machinery Manufacturing,"testing, leadership, programming, hardware agile, programming, algorithms, programming, sql, problem-solving, automation, angular"
Manufacturing,java
Maritime Transportation,"collaboration, programming, spring, communication, spring, debugging, java collaboration, programming, spring, debugging, spring, debugging, spring, react, sql, programming, java, communication, communication, programming"
Market Research,"organization, agile, programming, scripting, organization"
Media Production,"devops, javascript, html, css, scripting"
Medical Equipment Manufacturing,"organization, testing, organization, c++, css, jenkins, devops, problem-solving, leadership, react, angular, automation, sql, microservices teamwork, organization, organization, debugging, automation, interpersonal, communication, devops, scripting, flexibility testing, testing, flexibility leadership, sql c++, c++, interpersonal, agile, debugging, hardware, scripting, c++, interpersonal, communication  collaboration, testing, problem-solving, sql, communication communication, leadership, agile innovation, go, programming, hardware, c++, communication, c#, writing, ruby, communication innovation, go, debugging, communication, hardware, programming, c++, writing, debugging, ruby, communication, debugging leadership, c#, asp.net, sql, c#, asp.net, javascript, angular, sql, communication, interpersonal, agile c++, c++, programming, hardware, c++, agile, communication, leadership agile, python, programming, communication, testing, testing"
Mental Health Care,"collaboration, leadership, planning, containerization, kubernetes, planning"
Mining,"testing, problem-solving, debugging, testing, devops, writing, angular, sql, sql testing, communication, innovation"
Motor Vehicle Manufacturing,"programming, debugging, scripting, testing python, agile, programming, python, react, devops, docker, docker, agile, communication, presentation, listening testing, writing, testing, java, angular, spring, agile, agile, problem-solving programming, nosql, agile, programming, programming, programming, java, spring, writing, testing, communication, teamwork, interpersonal, problem-solving, sql, sql, agile agile, planning, leadership, java, sql, terraform, scripting, automation, communication leadership, agile, microservices, java, spring, spring, spring, java, kotlin, python, angular, react, vue, programming, terraform, agile, agile, problem-solving communication, nosql, python, docker, kubernetes, terraform, jenkins agile, planning, leadership, java, sql, terraform, scripting, automation, communication automation, programming, programming, sql, programming, communication, problem-solving, programming, java, react automation, spring, devops, agile, spring, spring, jenkins agile, agile, java, spring, nosql, communication, java agile, programming, python, react, devops, docker, docker, agile, communication, presentation java, spring, nosql, communication, listening automation, automation, programming collaboration, asp.net, sql, sql, java, devops, programming, problem-solving, communication, interpersonal, communication collaboration, organization, programming, programming, java, testing, problem-solving, communication, interpersonal, organization microservices, testing, programming, programming, sql, nosql, agile, programming, problem-solving, communication, teamwork, interpersonal spring, planning, agile, agile, planning, problem-solving, communication, teamwork"
Musicians,"teamwork, leadership, collaboration, java, blockchain, go"
Non-profit Organizations,"testing, programming, debugging, agile, problem-solving, java, angular, testing, automation, testing"
Oil and Gas,"debugging, debugging java, java, microservices, spring, java, programming, microservices, spring, java, programming, problem-solving, communication, collaboration organization, empathy, agile, leadership, networking, programming, java, programming, communication, networking, programming, java, programming, go"
Outsourcing and Offshoring Consulting,"hardware, hardware, hardware, hardware, hardware, hardware"
Pharmaceutical Manufacturing,"devops, spring, spring, nosql, angular, typescript, problem-solving"
Professional Services,"go, java, java, java, java, angular, leadership"
Public Safety,"planning, agile, hardware planning, agile, hardware programming, python, testing, communication"
Real Estate,"asp.net, asp.net, react, react, node.js, planning, communication collaboration, programming, writing, sql, writing, organization, devops, communication, organization flexibility, testing, innovation, communication, organization css, css, microservices, kubernetes, css, agile"
Renewable Energy Power Generation,"hardware, communication, hardware, programming, programming, hardware, testing hardware, hardware, programming, programming"
Research Services,"agile, c++, programming, debugging, hardware, agile, scripting, c++, agile problem-solving, algorithms, hardware, hardware, programming, programming, organization, hardware, leadership, communication problem-solving, hardware, testing, programming, programming, programming, programming, algorithms, debugging, hardware, hardware, programming, testing, programming problem-solving, testing, programming"
Restaurants,"writing, testing, agile, agile, programming, leadership"
Retail,"innovation, cybersecurity planning, agile, angular, automation, nosql, communication, agile java, planning, testing, automation, testing, automation, react, sql, communication, communication, problem-solving, java, sql, javascript, sql innovation, writing, debugging, agile, communication, terraform testing, testing, kubernetes, kafka, automation, automation, spring, spring, microservices, java, docker, scripting, automation react, programming, testing, testing, java, javascript, css, javascript, testing, writing programming, testing, testing, react programming, testing, testing automation, testing, programming, flexibility leadership, testing, planning, communication, collaboration, programming, testing organization, automation, programming, python, microservices, containerization, docker, cybersecurity leadership, testing, planning, communication, collaboration, programming, testing swift, java, communication, collaboration, sql, organization, hardware, hardware, hardware sql, sql, communication, flexibility, automation, writing, sql, sql, communication leadership, leadership, programming, programming, problem-solving programming, programming, encryption, communication, programming organization, problem-solving, nosql, python, communication, collaboration, cybersecurity organization, python, testing, cybersecurity programming, testing, testing programming, testing, testing, javascript, javascript programming, testing, testing, java, spring, testing, agile, agile, jenkins, angular, spring testing, testing, spring, nosql, testing testing, testing, angular, javascript, typescript, react, containerization, docker devops, devops, problem-solving, initiative, cybersecurity, networking communication, leadership, leadership, java, agile"
Retail Apparel and Fashion,"collaboration, agile, communication, problem-solving"
Retail Office Equipment,"algorithms, scripting, nosql, sql"
Robotics Engineering,"programming, automation, teamwork, programming, python, hardware, networking"
Semiconductor Manufacturing,"innovation, flexibility, algorithms, communication, flexibility programming, c++, programming, c++ algorithms, hardware, algorithms, hardware, hardware, c++, programming, programming, hardware, programming testing, problem-solving, communication, collaboration hardware, programming, c++, agile, devops, hardware, programming networking, virtualization, networking, innovation, java, leadership, leadership, virtualization, collaboration, innovation, nosql, flexibility, spring, virtualization, leadership, communication automation, automation, automation, testing, leadership, communication, programming, interpersonal, agile virtualization, debugging, programming, writing, programming, python, scripting, networking"
Software Development,"c#, c#, communication  leadership, innovation, react, javascript, testing, react, testing, testing, innovation automation, automation, automation, automation, automation, problem-solving, communication, containerization, docker, devops programming, programming agile, innovation, writing, testing, c#, nosql, testing, agile typescript, react, communication, collaboration collaboration, organization, innovation, collaboration, leadership, agile, interpersonal, devops, automation, collaboration organization, agile, organization, ruby, typescript, ansible, agile, creativity, agile, flexibility, innovation, planning  javascript, react, communication, empathy organization, testing, machine-learning networking, writing, programming, c++, programming programming, programming, programming, problem-solving, communication, teamwork leadership, sql, communication, communication, testing  collaboration, organization, innovation, collaboration, leadership, agile, interpersonal, devops, automation, collaboration agile, collaboration, programming, javascript organization leadership, python, python spring, programming, programming, sql, programming, sql, problem-solving, communication, interpersonal, innovation ruby, javascript, algorithms collaboration, java organization, planning, automation, devops, terraform, kubernetes, microservices, testing, communication automation, planning, programming, devops, communication, collaboration collaboration, collaboration, writing, python, writing automation, planning, programming, devops, communication, collaboration empathy, go, innovation, initiative networking innovation, testing, innovation, devops, html, css, html, devops, docker, leadership, debugging, node.js, docker java, java, spring, sql, problem-solving networking, java, c++, organization, communication, nosql, jenkins, agile, flexibility agile, planning, initiative, java, programming, networking, leadership, communication, programming, debugging, flexibility algorithms, testing, algorithms, algorithms, algorithms algorithms, testing, algorithms, algorithms, algorithms networking, java, c++, organization, communication, nosql, jenkins, agile, flexibility react, react, react, writing, communication, react, programming, react, react, react, devops, sql, automation testing, networking communication, leadership, agile c++, c++, programming, problem-solving, sql, sql, debugging, communication, planning testing, communication, flexibility, react creativity, innovation, testing, communication, svelte, svelte, typescript, go, programming, go, programming, docker automation, communication, communication, problem-solving, react, python, go, flexibility, algorithms node.js, django, organization node.js, communication, typescript, angular, nosql, communication, html  testing, programming, java, communication, debugging hardware, hardware, hardware, c#, hardware agile, flexibility, go, writing, encryption, agile, typescript, docker, devops javascript, typescript, collaboration leadership, organization, agile, agile, communication cybersecurity, agile, debugging, testing asp.net, asp.net creativity, creativity, programming, creativity creativity, creativity, programming, creativity programming, networking, networking, collaboration, scripting, bash, automation, scripting, debugging writing, c#, testing, communication, programming, nosql communication, programming, leadership agile, spring, c#, programming, agile, leadership, organization react, agile, programming, react, react, asp.net, testing, docker, hardware  collaboration, c#, writing, problem-solving, problem-solving, javascript spark, testing, c#, sql, nosql microservices, programming, microservices, containerization, problem-solving, communication, agile, leadership writing, typescript, next.js, writing, communication, collaboration, innovation ruby, testing, ruby, problem-solving, communication, collaboration resilience, communication, agile ruby, ruby, ruby, ruby, ruby, communication, programming, debugging, testing, testing, communication, collaboration, javascript communication, java, programming, sql, nosql, sql, c++, programming, kafka c++, writing, c++, go algorithms, algorithms, python, cybersecurity organization, agile, organization, leadership, planning, agile, collaboration, agile, communication, innovation agile, leadership, microservices, collaboration, devops, automation, innovation, programming, agile, javascript, microservices, sql leadership, planning, leadership, programming, docker, communication, communication, c#, python, devops, devops, agile organization, automation initiative, organization, innovation, initiative, creativity, innovation, programming, swift, flexibility agile, writing, java, containerization, docker, communication containerization, communication, networking, networking, networking, communication, networking, collaboration, hardware, testing, virtualization, networking, problem-solving, communication, hardware, hardware planning, planning, automation, c++, automation collaboration react, typescript, node.js, planning, go collaboration, collaboration, writing, java, algorithms, debugging collaboration, collaboration, writing, react, typescript, algorithms, javascript, testing, programming networking, go, scripting, ansible, virtualization, communication, flexibility algorithms, algorithms, python, cybersecurity collaboration, sql, java, javascript, programming, communication, sql, sql, java express, javascript, javascript, programming, javascript, microservices, nosql automation, css, flexibility testing, teamwork, docker, containerization, scripting, communication, debugging c#, agile, agile, agile, programming, c#, html, problem-solving writing, python, python, sql, nosql, react organization, networking, leadership, collaboration, communication, scripting, programming, programming, programming, debugging, networking, programming, programming, agile organization, c++, c++, collaboration spark, kubernetes, networking, programming, automation, scripting, python javascript, testing, containerization, agile, python, javascript ruby, agile, leadership, ruby, testing, agile, agile, planning, leadership, innovation, kubernetes, communication, collaboration, problem-solving, communication, problem-solving, adaptability, ruby, agile, communication, agile testing, kotlin, writing, collaboration, communication java, spring, problem-solving, communication c#, c#, devops, devops, sql, sql, sql, leadership, problem-solving, problem-solving, communication, communication, collaboration, creativity, python, r organization, innovation, agile, javascript, typescript organization, python, devops, agile cybersecurity, agile, debugging, testing algorithms, algorithms, hardware, agile agile, agile, automation, problem-solving, communication, decision-making, agile, automation, innovation writing, programming java, python, typescript, innovation, problem-solving, spring, spring, testing, problem-solving, problem-solving, java programming, nosql, agile, programming, programming, programming, java, spring, writing, testing, communication, teamwork, interpersonal, problem-solving, sql, sql, agile writing, programming, microservices, testing, testing, automation, testing, sql, communication, communication, spring, innovation, innovation automation, programming, programming, sql, programming, communication, problem-solving innovation, testing, testing, angular, organization python, programming, python node.js, react, problem-solving, go, devops problem-solving, communication, algorithms, networking, hardware, communication algorithms, innovation, typescript java, java, scripting, python sql, react, sql, kubernetes, sql, sql, debugging, sql, sql, leadership, programming, java, sql, sql leadership, python, collaboration, decision-making, writing, flexibility testing, writing, planning, automation, testing, testing, testing, automation, c#, writing, testing, automation, testing, typescript, leadership, planning writing, c#, innovation, leadership nosql, sql, nosql, programming, problem-solving automation, automation, automation, python, containerization, agile, programming organization, communication, ruby, ruby, communication, leadership programming, javascript, node.js, organization, typescript, c# go, debugging, python, python, django, planning, flexibility, planning agile, communication, automation, debugging, agile, sql, automation, flexibility testing, angular, agile, collaboration innovation, debugging, php, programming, agile, empathy, decision-making, initiative, laravel, sql, communication, collaboration, agile, collaboration java, spring, angular, agile, microservices, communication, writing, writing algorithms, programming, problem-solving, innovation java, javascript, sql, nosql, spring algorithms python, python, communication, go automation, testing, testing, automation, testing, testing, testing, testing, automation, testing, automation, testing, agile, devops, programming, javascript, automation, agile, leadership, planning innovation listening, automation, collaboration hardware, hardware, organization, hardware, communication empathy, planning, sql, nosql, programming agile, organization, debugging, c#, problem-solving, debugging innovation, organization, communication, debugging, python, react, agile, agile, programming, problem-solving, communication innovation, testing, planning javascript, node.js, react, decision-making, programming programming, c++, programming, rust, problem-solving  encryption, agile, planning, devops, sql, testing testing, leadership, programming, java, agile, leadership django express, problem-solving express, problem-solving c#, asp.net, sql, communication programming, programming, python, problem-solving, communication, teamwork, programming programming, programming, agile, testing, programming, angular, sql, agile, testing, communication innovation, testing, testing, react, vue, testing, react, vue organization, programming, algorithms, debugging innovation, planning, microservices, planning, automation, planning, automation, automation, planning, organization, agile, agile innovation, planning, microservices, planning, automation, planning, organization, agile organization hardware, organization, debugging, debugging, writing hardware, hardware, initiative, organization, hardware, scripting, python, collaboration, communication organization, leadership, organization, agile organization, algorithms, debugging testing, rust, typescript, node.js automation, automation, automation, automation, programming, automation, automation, automation, automation, programming, problem-solving, interpersonal, containerization, virtualization java, spring, java, microservices, agile, spring, spring, problem-solving, java, spring, spring, node.js, docker, kubernetes, containerization containerization, communication, collaboration swift, programming, innovation, swift, programming, problem-solving, communication, cybersecurity spark swift, programming, innovation, swift, programming, problem-solving, communication, cybersecurity innovation, sql, angular, leadership, angular, agile, planning, leadership, sql, javascript, angular, css, bootstrap, testing, testing, communication, leadership, problem-solving, flexibility networking, networking, networking, networking, organization, automation, scripting, agile, communication react, go, react, javascript, agile, kotlin swift, communication, programming, planning agile, java, spring, agile, agile, communication, programming, scripting, docker, kubernetes, testing, nosql devops, leadership, devops, devops, devops, devops, agile organization, flexibility, teamwork, react, testing kubernetes, java kubernetes, java collaboration, java typescript, react, ruby algorithms, docker, initiative python, python, python, microservices, problem-solving, sql writing, kubernetes, listening, flexibility organization, go, go, programming, communication, planning communication, initiative, interpersonal, teamwork, testing, innovation, teamwork organization"
Staffing and Recruiting,"cybersecurity, python, cybersecurity c++, algorithms, python, innovation java devops, automation, javascript, collaboration, communication, agile algorithms, algorithms, c++ automation, automation, automation, automation, automation, problem-solving, communication, containerization, docker organization, c#, sql, asp.net, javascript, hardware, hardware, communication organization, leadership, agile, agile, agile organization, planning, go, java, scripting, problem-solving, agile, communication organization, flexibility, c#, programming, terraform, react problem-solving, adaptability, communication, interpersonal, writing sql, c#, docker python, programming, testing, testing, testing, programming, python, programming, c++, programming problem-solving, communication, agile, sql, devops node.js, kafka collaboration, organization, typescript, python, algorithms, agile, agile node.js agile, spring, devops, leadership, leadership, spring, devops, sql, nosql, agile go, programming, python, flexibility go, programming, python, flexibility hardware, typescript, node.js, programming, programming, react, devops communication, innovation, debugging, scripting, bash hardware, typescript, node.js, programming, programming, react testing, programming, angular, sql, nosql programming, python, programming hardware, typescript, node.js, programming, programming, react leadership, communication, c++, presentation c#, sql, programming, scripting, communication, organization, organization agile, devops, sql debugging hardware writing, c++, c++, c++, python, scripting, automation, ruby, c++, c++, go, java, python, kafka, c++, cybersecurity testing, automation, programming, testing, debugging programming, java, terraform sql, sql, javascript, sql programming sql, sql, javascript, sql, javascript agile, agile, spring, microservices, programming, debugging, communication, teamwork, jenkins, agile, testing, initiative python, django, sql, python, django, sql, writing, python, django agile, devops, sql sql, asp.net, sql, sql angular, python, angular, python, angular, angular, angular, python, nosql  organization, flexibility, c++, communication, c++, communication agile, initiative, programming, automation, devops, testing, testing organization, flexibility, c++, communication, communication agile, agile, agile, agile, programming, writing, problem-solving, agile, scripting testing, hardware, communication, testing, communication, programming, communication, programming communication, networking, testing, agile communication  organization, leadership, leadership, encryption organization, programming, leadership, kubernetes testing, automation, programming, programming, debugging, testing, debugging hardware, leadership, c++, programming, programming, communication, interpersonal, leadership   java java, java, c++, java collaboration agile, communication, go, agile, agile, testing, communication c++, c++, hardware, c++, programming, agile, hardware, problem-solving, communication flexibility, testing, communication, programming, programming, writing, planning flexibility, hadoop, communication, spark, hadoop, spark, writing, planning, organization, programming"
"Technology, Information and Internet","collaboration, planning, sql, java, docker, testing testing, presentation initiative, programming, leadership, innovation, leadership, programming, agile, communication, interpersonal, networking organization, leadership, programming, c#, nosql, problem-solving organization, algorithms, leadership organization, algorithms, leadership planning, planning, collaboration, agile, writing leadership, innovation, leadership, innovation, collaboration, leadership, leadership, problem-solving, leadership, programming, containerization, containerization, agile, problem-solving, python, react, react, initiative, flexibility, collaboration, swift, creativity, innovation collaboration, debugging, c++, java, communication, agile c#, testing, communication, programming, presentation, sql, devops, c++, agile, scripting, java, communication testing, testing, testing, programming, programming, testing, agile, communication, collaboration debugging asp.net, asp.net, sql, microservices, sql, algorithms, asp.net, sql, microservices, sql, algorithms  programming, node.js, javascript, svelte, sql, decision-making automation, c#, sql, sql, sql, automation, jenkins, automation, automation, automation, programming, java, python, automation, automation, automation, problem-solving, automation, agile, communication, interpersonal, problem-solving automation, testing, automation, testing, testing, testing, testing, agile, testing, automation, automation, automation, organization php, php, decision-making, php, programming, communication, collaboration, php, innovation collaboration, initiative, initiative, collaboration, communication, blockchain, go collaboration, initiative, initiative, collaboration, communication, blockchain, go communication, leadership, laravel, agile devops collaboration, initiative, initiative, collaboration, communication, blockchain, go writing, agile, programming, testing, java, agile, agile agile, programming, decision-making, programming, spring agile, algorithms, java, python, javascript, react, programming, agile, react, javascript, automation, agile, agile, communication, testing agile, algorithms, programming, java, microservices, spring, spring, spring, spring, spring, testing leadership, spring, interpersonal, communication, decision-making java, algorithms, agile, communication testing, asp.net, c# planning, swift, testing, hardware programming, writing, communication, writing, communication, debugging, writing, communication, collaboration collaboration, initiative, initiative, problem-solving, communication, blockchain, go collaboration, initiative, initiative, problem-solving, communication, blockchain, go collaboration, initiative, initiative, problem-solving, communication, blockchain, go organization python, sql, flexibility c++, debugging, python, pytorch, c++ ruby, ruby, react, javascript, ruby agile, communication, problem-solving agile, agile, problem-solving, java, sql programming, writing, communication, writing, communication, debugging, writing, communication, collaboration programming, writing, communication, writing, communication, debugging, writing, communication, collaboration programming, writing, communication, writing, communication, debugging, writing, communication, collaboration programming, writing, communication, writing, communication, debugging, writing, communication, collaboration programming, java, kotlin, testing, programming programming, java, kotlin, testing, programming kotlin, testing, empathy, kotlin, agile, programming, collaboration, organization creativity, creativity, sql, nosql, testing, javascript, django, writing, creativity, problem-solving, creativity agile, programming, decision-making, spring, kubernetes, automation, python agile, java, agile, agile, testing"
"Technology, Information and Media","writing, writing, problem-solving automation, python, testing, python, django, nosql, problem-solving, communication decision-making, communication, collaboration, communication, ruby, react java organization, problem-solving, microservices, writing, java, rust, agile, agile, communication, flexibility communication, interpersonal, testing, hardware kubernetes, networking, programming, automation, python hardware, ruby, javascript"
Telecommunications,"automation, python, python c++, programming, problem-solving, communication programming, decision-making, communication testing, programming, java, sql programming, programming, programming, scripting, programming c++, programming, problem-solving, communication"
"Transportation, Logistics, Supply Chain and Storage"," collaboration, leadership, collaboration, python, devops, go java, sql, programming, testing, sql, java, sql, automation"
Truck Transportation,"agile, programming, agile, testing, testing, agile, communication, programming, java, c#, html, angular, testing, sql, nosql, containerization organization, organization, agile, go, leadership, sql, leadership, testing, devops, organization, leadership, sql, containerization, agile, microservices, communication, organization agile, planning, agile, planning, automation, communication"
Utilities,"hardware, testing, communication, decision-making, planning, programming, c++ testing, debugging, problem-solving, teamwork, sql, nosql, sql, programming, agile, testing, testing, programming, initiative, agile, negotiation, collaboration"
Veterinary Services,"javascript, react, programming, java, spring, node.js, sql, agile"
Wellness and Fitness Services,teamwork communication communication
Wholesale Building Materials,"react, php, css, communication, teamwork, problem-solving, php, leadership"
Writing and Editing,"node.js, java"
